root_id,length_nm,area_nm,size_nm
720575940604274534,1271044,1930084352,135002869760
720575940604274622,211300,1044262400,101076766720
720575940604276652,1973598,5231752832,271868323840
720575940604278705,370871,820330752,71505930240
720575940604281120,2662166,3765619456,207762380800
720575940604281888,137688,311281920,13353799680
720575940604284128,1098542,1737804928,100414617600
720575940604284337,1071519,2121558144,169142661120
720575940604285105,1140944,1774437760,113999083520
720575940604285356,4053482,6794022528,384371322880
720575940604288172,260529,551761536,50731018240
720575940604292710,2370835,3320276608,188859381760
720575940604299454,391028,1470708480,87312691200
720575940604299552,397136,691758208,24873000960
720575940604304561,637868,1713306368,122677196800
720575940604304742,1377944,1810989056,103562424320
720575940604307936,691406,1445692800,113743339520
720575940604308401,934443,1845126528,126761748480
720575940604318129,853101,1805691904,117781555200
720575940604319078,728943,1794681984,104765736960
720575940604323808,424495,685342720,50238085120
720575940604324017,1343717,2227808640,125044254720
720575940604324320,425296,707899776,48633425920
720575940604324576,452726,774631808,52678686720
720575940604330854,3358074,5526540288,343341516800
720575940604332460,1532878,3139260416,236764354560
720575940604336049,645782,967888000,62657167360
720575940604337632,403411,691810560,48645816320
720575940604337696,625167,1111717632,60500879360
720575940604340448,349894,1133023744,58420285440
720575940604341216,1321139,2220031104,145538979840
720575940604341280,648158,1055678208,80268328960
720575940604345632,767456,1178633728,70536908800
720575940604349630,1736106,2855140352,193323253760
720575940604351078,718338,1374632832,102137733120
720575940604352172,5601635,16288122624,1592343869440
720575940604352689,479105,1297553152,97342484480
720575940604355872,163065,450602112,34330613760
720575940604364134,3288745,6185951872,381239889920
720575940604364222,1350077,2621622016,200968417280
720575940604367294,181346,379331328,16256409600
720575940604370604,3048200,4915540992,269931069440
720575940604372070,1757637,3145095424,237382615040
720575940604381886,711803,1451394944,97346744320
720575940604383008,896494,1900262528,158380032000
720575940604383776,477272,828335616,56760442880
720575940604386594,477531,819301248,54524211200
720575940604389054,766671,1234278400,66363996160
720575940604389344,1442393,2469142144,145713029120
720575940604391904,454603,694982784,46999500800
720575940604395436,2608821,4726200704,307004508160
720575940604395622,2792060,4509736192,279565045760
720575940604396209,2231597,3416762880,215106539520
720575940604398816,2989563,5163405696,298239549440
720575940604401342,2726676,3978844032,236070287360
720575940604402092,741036,1415641344,92570071040
720575940604403628,3797954,7059784576,500769054720
720575940604404425,1950926,4156442368,309190819840
720575940604404913,155079,313399552,11380592640
720575940604407008,1339432,2141579008,130692362240
720575940604407072,538674,1001724160,79938416640
720575940604407468,2536607,6844288640,673167605760
720575940604411616,362349,630357376,47537223680
720575940604412192,957931,1655619712,119968051200
720575940604412588,1680933,3346482432,246182072320
720575940604412896,404964,660097920,41408256000
720575940604413664,441670,732603008,53840486400
720575940604414636,2879822,5878658944,412860610560
720575940604415148,690506,1198714496,85532436480
720575940604418988,4958372,10979160704,961216399360
720575940604418993,949602,1702400512,122324224000
720575940604420832,619432,1131010816,78293473280
720575940604425644,813101,3057352960,281803386880
720575940604425696,606220,1125725824,61859276800
720575940604426412,871915,1177338624,57661798400
720575940604427180,3332918,6097854720,425733324800
720575940604427232,397092,669788160,49485393920
720575940604427552,639326,1887312512,154423715840
720575940604431584,3396433,10139016960,983938590720
720575940604432864,333170,585299584,38160312320
720575940604434092,1173789,1979912704,124721991680
720575940604435046,1019958,1994391680,123172915200
720575940604435061,449784,743564288,54889687040
720575940604435814,257592,453023616,40585062400
720575940604436720,434729,718141440,53117491200
720575940604437094,950983,1504233216,114177116160
720575940604437792,572976,1539656704,146676633600
720575940604438048,595240,925968768,67032576000
720575940604439072,396540,788086144,40921804800
720575940604444081,1988424,5432412416,461846312960
720575940604445868,2045287,3588512640,194586849280
720575940604447148,1384661,2239856128,133775933440
720575940604447520,372878,578249600,41356062720
720575940604450732,1125302,1990239744,120981678080
720575940604451505,7623359,12410161024,714990376960
720575940604452384,413986,851199744,70685890560
720575940604453408,541100,972057600,73785845760
720575940604455340,1178670,1883566848,119851980800
720575940604456108,953878,1786117120,131071006720
720575940604456364,4620160,9102724224,801286830080
720575940604456876,3404998,5641068800,333722920960
720575940604457200,391418,648217728,42434314240
720575940604458668,7009124,13692713344,1241679513600
720575940604458720,1013255,1761238784,123092367360
720575940604459697,988029,1747120128,135142952960
720575940604466912,887073,1594703744,100009707520
720575940604467488,673314,1072679552,71324518400
720575940604470188,541711,1442299392,133971865600
720575940604470240,14402915,27743279232,2379796879360
720575940604470956,3752800,7325793792,546185441280
720575940604471473,1166461,2026958208,133071052800
720575940604474028,2182008,4085125248,206590085120
720575940604474982,407386,722284928,53055805440
720575940604476774,572581,1174091648,93508096000
720575940604477100,617030,1067885952,55790090240
720575940604478065,490879,857212544,57514240000
720575940604478176,709315,1470303104,104262471680
720575940604479590,1442302,2548962688,128839014400
720575940604479660,1987169,2949918592,186920898560
720575940604480870,1230320,1660243328,89314662400
720575940604481760,2625002,5155630464,356798955520
720575940604481964,1456842,2429105536,156892057600
720575940604483040,712663,1967874944,162555648000
720575940604484454,750048,953340288,48051855360
